Territórios,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ovar,10110,10052,10010,9856,9686,9529,9318,9117,8930,8698,8485,8303,8104,7884,7629,7432,7308,7202,7171,7112,7037,7040,7046,7037
Sever do Vouga,2056,2008,1978,1951,1922,1875,1825,1786,1740,1672,1600,1546,1497,1442,1386,1342,1302,1253,1220,1180,1145,1129,1122,1129
Vagos,3871,3840,3810,3772,3720,3690,3650,3599,3566,3479,3394,3333,3271,3220,3175,3136,3101,3098,3128,3151,3144,3150,3187,3242
Arganil,1901,1855,1799,1742,1689,1639,1593,1539,1469,1412,1365,1314,1265,1232,1212,1186,1160,1163,1175,1161,1151,1158,1180,1196
Cantanhede,5345,5269,5211,5156,5091,5021,4959,4914,4874,4775,4668,4590,4459,4323,4221,4153,4107,4082,4065,4025,3964,3935,3946,3958
Coimbra,20819,20775,20656,20437,20127,19768,19376,18969,18611,18242,18132,18214,18126,17959,17782,17614,17465,17326,17201,17075,16968,16964,17087,17237
Condeixa-a-Nova,2301,2340,2402,2466,2515,2558,2604,2649,2713,2742,2731,2711,2666,2606,2532,2490,2480,2448,2409,2374,2337,2319,2318,2322
Figueira da Foz,8603,8601,8660,8728,8768,8751,8702,8655,8598,8435,8246,8094,7904,7678,7502,7405,7276,7140,7028,6901,6757,6693,6726,6747
Góis,578,569,558,544,536,534,530,527,512,499,484,459,434,408,392,379,367,359,350,337,316,301,297,300
Lousã,2525,2601,2678,2747,2807,2862,2921,2961,2975,2984,2957,2907,2846,2754,2670,2605,2536,2463,2399,2343,2288,2218,2172,2142
Mealhada,3169,3132,3120,3096,3054,3003,2971,2947,2911,2886,2848,2799,2754,2676,2583,2521,2457,2383,2352,2311,2259,2228,2197,2166
Mira,1913,1860,1819,1791,1766,1730,1703,1696,1695,1663,1620,1582,1550,1514,1468,1444,1433,1430,1437,1440,1438,1442,1450,1445
Miranda do Corvo,2132,2121,2111,2078,2060,2068,2055,2032,1989,1894,1804,1738,1666,1605,1526,1457,1414,1371,1351,1336,1300,1267,1245,1228
Montemor-o-Velho,3589,3578,3557,3506,3440,3391,3363,3345,3344,3336,3337,3334,3302,3248,3176,3116,3069,3043,3038,3065,3076,3078,3087,3093
Mortágua,1256,1232,1210,1198,1179,1150,1122,1110,1102,1089,1065,1029,1002,975,937,907,894,884,878,875,870,870,878,881
Oliveira do Hospital,3550,3474,3418,3365,3297,3227,3146,3062,2967,2870,2787,2699,2597,2475,2360,2292,2260,2222,2186,2176,2160,2136,2127,2148
Pampilhosa da Serra,507,491,475,457,438,425,411,385,367,357,339,322,319,317,301,286,283,281,273,267,268,272,285,292
Penacova,2320,2286,2254,2217,2188,2155,2123,2070,1995,1928,1868,1802,1717,1644,1580,1512,1440,1390,1354,1289,1224,1187,1173,1174
Penela,838,833,835,831,829,820,804,796,792,779,755,731,703,674,650,632,627,620,608,598,593,591,592,599
Soure,2548,2514,2488,2474,2478,2491,2495,2472,2422,2366,2314,2249,2171,2089,2019,1971,1927,1885,1841,1813,1781,1737,1704,1682
Tábua,1989,1962,1945,1920,1894,1866,1832,1809,1784,1721,1640,1575,1512,1460,1433,1405,1359,1321,1307,1304,1302,1303,1301,1309
Vila Nova de Poiares,1213,1201,1201,1197,1190,1198,1200,1190,1180,1167,1132,1072,1012,965,930,898,875,853,824,797,787,793,799,811
Alvaiázere,1102,1067,1039,1007,965,930,904,883,867,831,786,758,731,699,675,655,635,623,614,597,586,574,563,577
Ansião,1912,1891,1860,1837,1842,1841,1826,1800,1782,1752,1701,1646,1592,1531,1457,1393,1334,1290,1265,1233,1198,1163,1146,1141
Batalha,2538,2551,2557,2544,2544,2538,2531,2527,2507,2506,2486,2433,2368,2322,2302,2265,2226,2222,2247,2265,2257,2256,2293,2314
Castanheira de Pêra,491,477,460,449,431,411,399,387,373,352,336,323,304,289,277,265,250,236,221,210,204,195,187,186
Figueiró dos Vinhos,989,952,913,874,840,810,781,749,724,694,654,622,594,574,556,535,520,511,507,505,497,481,474,467
Leiria,20838,20876,20906,20899,20787,20642,20480,20263,20092,19818,19565,19324,18981,18630,18255,18016,17910,17774,17629,17542,17381,17319,17469,17553
Marinha Grande,5368,5474,5582,5683,5770,5832,5878,5922,5958,5948,5885,5805,5735,5641,5516,5433,5386,5345,5281,5229,5180,5161,5223,5250
Pedrógão Grande,507,506,508,505,503,497,484,472,464,454,442,427,407,386,366,349,339,324,303,291,286,286,298,312
Pombal,8863,8819,8744,8634,8520,8448,8366,8279,8176,7962,7722,7512,7275,7031,6808,6604,6436,6312,6221,6167,6075,5975,5948,5943
Porto de Mós,3962,3951,3946,3969,3984,3951,3917,3874,3821,3749,3653,3572,3463,3334,3229,3157,3088,3021,2990,2971,2961,2959,2952,2966
Aguiar da Beira,957,924,887,847,821,801,770,732,693,650,611,588,568,538,514,498,482,474,475,464,445,433,434,434
Carregal do Sal,1661,1623,1596,1580,1578,1557,1530,1509,1479,1441,1395,1340,1286,1241,1197,1166,1134,1103,1087,1067,1041,1016,1006,1000
Castro Daire,2718,2636,2573,2523,2480,2425,2340,2245,2170,2104,2031,1963,1885,1795,1717,1661,1605,1528,1459,1394,1337,1297,1268,1235
Mangualde,3296,3239,3197,3177,3147,3086,3015,2932,2852,2788,2733,2669,2604,2526,2439,2374,2300,2232,2180,2136,2090,2065,2067,2063
Nelas,2061,2042,2025,2022,2031,2030,2028,2034,2028,1974,1928,1906,1853,1811,1773,1741,1717,1677,1645,1610,1564,1507,1466,1462
Oliveira de Frades,1847,1822,1782,1735,1709,1689,1672,1655,1617,1574,1545,1504,1462,1425,1382,1336,1293,1274,1264,1234,1208,1199,1187,1174
Penalva do Castelo,1360,1309,1271,1231,1206,1182,1154,1134,1112,1048,991,961,924,893,865,850,839,828,803,777,751,721,703,691
Santa Comba Dão,1805,1781,1759,1738,1707,1690,1675,1661,1645,1580,1509,1467,1420,1366,1320,1281,1248,1212,1184,1187,1183,1171,1160,1142
São Pedro do Sul,2872,2795,2715,2638,2602,2551,2458,2360,2273,2221,2178,2107,2041,1959,1874,1813,1747,1674,1609,1559,1524,1502,1486,1480
Sátão,2238,2197,2159,2121,2073,2022,1988,1947,1897,1805,1684,1597,1532,1458,1386,1339,1308,1283,1273,1256,1219,1195,1182,1176
Tondela,4466,4354,4253,4148,4069,3974,3853,3761,3682,3572,3452,3362,3265,3129,2995,2898,2840,2783,2724,2682,2640,2601,2581,2559
Vila Nova de Paiva,1048,1005,963,922,875,833,796,761,731,705,681,655,624,599,573,540,520,511,496,483,470,457,450,442
Viseu,16025,16103,16142,16149,16136,16103,16044,15975,15854,15619,15396,15236,15002,14674,14349,14106,13923,13774,13656,13527,13355,13165,13065,13047
Vouzela,1773,1738,1703,1665,1618,1571,1516,1442,1378,1350,1320,1269,1213,1155,1111,1074,1034,998,978,983,992,988,991,992
Castelo Branco,7471,7508,7512,7506,7495,7472,7457,7393,7324,7293,7249,7175,7082,6950,6801,6659,6531,6448,6322,6199,6131,6093,6094,6109
Idanha-a-Nova,1054,1030,1011,988,963,951,935,922,918,943,964,936,898,868,832,802,777,749,736,737,743,760,783,795
Oleiros,614,583,557,537,532,519,494,472,455,452,440,412,390,368,338,319,306,287,274,276,285,296,306,314
Penamacor,651,633,605,578,564,549,523,502,486,473,454,431,409,385,357,334,321,318,312,307,306,308,324,334
Proença-a-Nova,1182,1159,1115,1067,1032,1000,964,925,882,856,826,787,761,723,689,664,650,648,625,603,600,597,597,583
Sertã,2380,2338,2312,2292,2270,2246,2225,2191,2134,2117,2098,2020,1949,1891,1833,1778,1730,1686,1649,1629,1607,1574,1546,1526
Vila de Rei,389,390,396,411,423,428,437,439,434,382,322,304,294,291,287,277,278,282,278,274,293,319,337,347
Vila Velha de Ródão,313,309,302,298,290,279,272,267,264,238,211,200,188,187,191,204,220,240,262,280,307,322,327,345
Almeida,932,907,873,845,817,783,748,715,680,625,578,555,523,487,454,425,403,386,374,377,375,366,358,352
Belmonte,1104,1076,1055,1019,982,955,922,887,862,823,793,769,737,708,676,675,674,659,663,666,657,643,638,634
Celorico da Beira,1196,1160,1143,1122,1096,1080,1055,1023,1001,979,945,912,884,849,812,771,729,687,662,651,636,617,612,603
Covilhã,7587,7487,7373,7222,7075,6923,6800,6708,6607,6482,6350,6226,6077,5888,5691,5521,5381,5260,5143,5043,4943,4844,4814,4812
Figueira de Castelo Rodrigo,879,848,819,795,777,746,728,724,716,705,697,692,679,659,641,621,600,574,538,514,512,509,504,499
Fornos de Algodres,807,778,747,724,711,695,670,644,628,598,560,532,514,492,469,455,450,444,428,419,414,405,404,397
Fundão,4399,4303,4225,4132,4020,3940,3862,3768,3679,3618,3561,3461,3350,3248,3152,3049,2949,2876,2811,2782,2757,2738,2768,2801
Gouveia,2077,2012,1931,1849,1774,1727,1690,1644,1609,1546,1478,1436,1383,1331,1287,1240,1210,1192,1183,1176,1139,1097,1084,1080
Guarda,6877,6768,6675,6601,6523,6434,6318,6193,6092,5969,5851,5743,5577,5427,5273,5107,4969,4832,4727,4657,4578,4482,4399,4327
Manteigas,602,568,542,513,486,467,448,426,404,384,367,349,332,306,284,274,258,242,235,235,236,238,244,252
Mêda,770,739,712,679,652,623,596,582,567,559,546,521,502,480,462,450,443,430,420,409,394,380,368,358
Pinhel,1341,1313,1275,1240,1213,1179,1140,1105,1079,1069,1047,993,938,902,867,822,784,759,728,692,660,636,625,600
Sabugal,1492,1455,1404,1347,1299,1247,1184,1141,1102,1045,992,965,943,921,897,866,843,827,821,827,845,862,875,876
Seia,3914,3769,3633,3500,3376,3259,3154,3049,2939,2794,2662,2581,2498,2432,2385,2348,2304,2263,2229,2176,2138,2097,2047,2033
Trancoso,1509,1461,1417,1386,1354,1329,1300,1261,1213,1141,1075,1032,995,951,901,870,845,825,802,772,750,732,719,716
Alcobaça,8964,8994,9030,9034,9038,9014,8934,8839,8735,8504,8214,7965,7722,7502,7263,7072,6936,6799,6718,6671,6609,6612,6678,6705
Alenquer,6309,6461,6616,6744,6873,6968,7050,7157,7243,7298,7316,7293,7206,7073,6947,6872,6830,6790,6776,6813,6909,7006,7067,7117
Arruda dos Vinhos,1585,1674,1770,1856,1958,2057,2156,2270,2364,2434,2455,2431,2406,2377,2349,2354,2352,2339,2358,2371,2361,2363,2354,2338
Bombarral,1962,1957,1954,1951,1958,1971,1950,1902,1872,1837,1804,1775,1727,1693,1658,1622,1604,1594,1586,1609,1649,1685,1723,1740
Cadaval,1914,1930,1928,1951,1979,1986,2002,2037,2062,2059,2028,1978,1910,1840,1779,1718,1667,1627,1593,1589,1618,1651,1673,1670
Caldas da Rainha,7820,7902,7988,8045,8083,8093,8058,8023,7978,7811,7622,7517,7402,7227,7008,6863,6777,6652,6521,6422,6349,6347,6420,6474
Lourinhã,3832,3892,3951,3993,4029,4069,4098,4113,4130,4103,4054,3992,3903,3815,3731,3678,3655,3628,3601,3611,3636,3695,3771,3814
Nazaré,2313,2319,2305,2290,2273,2252,2229,2224,2225,2198,2163,2143,2117,2087,2048,2009,1981,1967,1952,1926,1916,1942,1986,1999
Óbidos,1586,1632,1665,1688,1716,1739,1751,1768,1786,1777,1738,1693,1653,1608,1572,1539,1502,1482,1469,1478,1515,1574,1624,1647
Peniche,4375,4351,4327,4331,4331,4317,4305,4292,4271,4250,4210,4134,4051,3953,3866,3812,3767,3735,3710,3672,3640,3653,3683,3674
Sobral de Monte Agraço,1422,1450,1479,1524,1567,1610,1638,1660,1693,1709,1701,1698,1700,1685,1654,1624,1614,1614,1613,1628,1657,1691,1733,1754
Torres Vedras,11543,11743,11981,12185,12318,12450,12560,12552,12578,12575,12507,12408,12207,11999,11807,11624,11479,11321,11209,11259,11354,11446,11614,11743
Abrantes,5518,5457,5395,5370,5340,5270,5200,5169,5135,5081,4987,4846,4702,4553,4392,4234,4093,3966,3840,3713,3586,3472,3406,3373
Alcanena,2106,2058,2011,2004,2001,1966,1947,1941,1927,1904,1869,1837,1806,1771,1738,1714,1704,1678,1627,1572,1533,1514,1497,1481
Constância,540,538,542,561,593,613,618,616,610,606,603,603,606,599,575,554,542,533,520,507,490,479,480,483
Entroncamento,3046,3120,3186,3244,3267,3261,3292,3337,3349,3343,3320,3301,3280,3257,3228,3181,3139,3100,3084,3070,3065,3087,3110,3159
Ferreira do Zêzere,1305,1270,1246,1227,1213,1211,1208,1187,1164,1132,1093,1062,1021,980,936,901,896,894,877,866,867,858,856,861
Mação,888,889,879,865,843,815,788,761,739,712,679,647,611,575,543,521,498,485,479,485,502,503,513,525
Ourém,7881,7833,7799,7737,7627,7529,7426,7279,7117,6930,6718,6540,6341,6115,5926,5783,5642,5541,5525,5550,5555,5561,5582,5583
Sardoal,566,548,544,549,541,525,509,492,476,467,465,454,433,403,381,372,361,347,336,328,323,322,324,325
Tomar,6274,6196,6142,6075,6005,5915,5801,5656,5521,5383,5187,5036,4890,4676,4482,4368,4261,4158,4083,3989,3902,3842,3830,3820
Torres Novas,5151,5128,5136,5136,5127,5129,5121,5119,5108,5044,4977,4920,4837,4715,4591,4507,4444,4388,4345,4300,4206,4125,4099,4088
Vila Nova da Barquinha,1044,1039,1036,1035,1037,1044,1045,1049,1051,1041,1027,1011,993,970,939,908,898,896,888,913,945,960,994,1037
Almeirim,3116,3173,3229,3313,3394,3439,3470,3527,3577,3570,3552,3535,3487,3400,3310,3238,3190,3152,3092,3037,2997,2978,2966,2940
Alpiarça,1038,1042,1054,1061,1073,1088,1104,1119,1137,1150,1135,1117,1095,1056,1017,983,960,939,917,896,885,893,901,909
Azambuja,2964,2980,2989,3007,3056,3108,3143,3159,3192,3226,3225,3187,3132,3066,3005,2969,2947,2928,2898,2878,2883,2886,2926,2975
